ID,Classification 1,Classification 2,Resolution,match,Final Classification
FAMILY_58,duplicate of FAMILY_60,FALSE,TRUE_NEW,TRUE,TRUE_NEW
FAMILY_59,TRUE_NEW,FALSE,TRUE_NEW,TRUE,TRUE_NEW
FAMILY_60,TRUE_NEW,FALSE,TRUE_NEW,TRUE,TRUE_NEW
FAMILY_61,FALSE,TRUE_NEW,TRUE_NEW,TRUE,TRUE_NEW
FAMILY_62,TRUE_NEW,TRUE,TRUE_NEW_UNDER,TRUE,TRUE_NEW_UNDER
FAMILY_63,TRUE_NEW,TRUE_NEW,,TRUE,TRUE_NEW
FAMILY_64,TRUE_NEW,TRUE_NEW,,TRUE,TRUE_NEW
FAMILY_65,TRUE_NEW,TRUE_NEW,,TRUE,TRUE_NEW
FAMILY_66,TRUE,TRUE,,TRUE,TRUE
FAMILY_67,TRUE_NEW,TRUE_NEW,,TRUE,TRUE_NEW
FAMILY_68,TRUE_NEW,TRUE_NEW,,TRUE,TRUE_NEW
FAMILY_69,FALSE,FALSE,,TRUE,FALSE
FAMILY_70,TRUE_NEW,TRUE_NEW,,TRUE,TRUE_NEW
FAMILY_71,TRUE_NEW,TRUE_NEW,,TRUE,TRUE_NEW
FAMILY_72,FALSE,FALSE,,TRUE,FALSE
FAMILY_73,FALSE,FALSE,,TRUE,FALSE
FAMILY_74,FALSE,FALSE,,TRUE,FALSE
FAMILY_75,FALSE,FALSE,,TRUE,FALSE
FAMILY_76,TRUE_NEW,TRUE_NEW,,TRUE,TRUE_NEW
